Player tag,Main,Elo,Games played
PewKing,Marth,1000.0,0
Peain,Fox,1000.0,0
How to wavhArm,Luigi,1000.0,0
Captybox,Falcon,1000.0,0
0-tin,Doc,1000.0,0
ner,Marth,1000.0,0
Saceroll,Fox,1000.0,0
S2oji,Luigi,1000.0,0
Mariorif,Falcon,1000.0,0
JigglyioLuigi,Doc,1000.0,0
Sheikngo,Marth,1000.0,0
GanArm,Fox,1000.0,0
Aanas,Luigi,1000.0,0
TrMY,Falcon,1000.0,0
mrges,Doc,1000.0,0
Elex$,Marth,1000.0,0
Hlup,Fox,1000.0,0
Ficnchim,Luigi,1000.0,0
How to wation,Falcon,1000.0,0
Syen,Doc,1000.0,0
Zage,Marth,1000.0,0
Jigrk,Fox,1000.0,0
S2robe,Luigi,1000.0,0
mouDat,Falcon,1000.0,0
Zky,Doc,1000.0,0
iacho,Marth,1000.0,0
GingSa,Fox,1000.0,0
Captain Fatser,Luigi,1000.0,0
20XX,Fox,1000.0,0
